0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
-0.022059233,-0.258498898,0.258498898,-0.138424358,-0.435665297,0.435665297,0.144316246,-0.202112322,0.232495704,-0.39267776,-0.50363308,0.50363308,0.177947485,-0.008290926,0.008290926,-0.016275815,0.004672101,0.022532743,-0.629506613,-0.049067832,-0.067710216,0.046042839,0.315387022,0.640493706,1.091181821,-1.41012307,0.323048351,-0.495844403,-0.982519129,-0.113690922,-0.008637279,0.127048643,0.211209214,-1.041444656,0.896671639
-0.036133666,-0.029844277,0.029844277,-0.470314103,2.491424872,-2.491424872,0.155479276,0.551242509,0.093225056,4.554723689,5.63808066,-5.63808066,-0.278210494,-0.020712601,0.020712601,-0.024607918,-0.026221647,0.023645246,-0.595984689,-0.049038633,-0.067693688,0.046009453,-0.301505647,-0.492749166,0.679379017,0.256137557,0.183131209,0.191940034,-0.671111649,-0.123568957,-0.091996286,0.101953428,-1.770710602,-0.024255966,0.167953997
-0.049050702,-0.257161715,0.257161715,-0.427300582,-0.348632728,0.348632728,0.151014064,3.848418248,0.120235121,-0.412191991,-0.332933763,0.332933763,-0.281008917,-0.027140938,0.027140938,-0.025806126,-0.028239832,0.025585854,-0.210482555,-0.04823873,-0.065694211,0.045648461,-0.285677824,0.194375471,-0.079205095,-0.203520547,0.484308786,-0.644343315,-0.695066071,-0.133112144,-0.090838522,0.140525704,0.702283004,-0.843156192,-0.47418333
-0.054067117,-0.259607474,0.259607474,-0.509639836,-0.392825432,0.392825432,0.160582376,-0.169872209,0.122767315,-0.379697121,-0.40678295,0.40678295,-0.277973212,-0.027696772,0.027696772,-0.025109342,-0.026314794,0.02529309,1.25610165,-0.019232883,0.010288431,0.030378259,-0.229168572,0.454611109,0.766074344,-0.519535493,0.53648128,-0.542738796,-0.695066071,-0.142487906,-0.111678273,0.140525704,1.479935099,-0.832459384,0.707637953
0.002823427,0.001990441,-0.001990441,0.59924407,0.502753227,-0.502753227,-0.159350083,-0.184863318,0.094997592,-0.098101138,0.08554496,-0.08554496,-0.278509294,-0.013849263,0.013849263,-0.032002293,-0.045409925,0.027091498,-0.777960851,-0.049154623,-0.067936212,0.046099785,-0.313016791,0.446919415,0.722726681,-0.749364545,0.46533697,-0.613080386,-1.90476436,-0.131772749,0.03188446,0.141919882,0.151282446,-0.678809775,1.119615947
0.041416684,-0.258829904,0.258829904,0.212203298,-0.442411448,0.442411448,-0.044817389,-0.211013632,0.269634544,0.254040973,-0.510202581,0.510202581,4.058703273,-0.003264256,0.003264256,0.015470179,0.200001316,-0.054414025,-0.742044503,-0.049139372,-0.067811896,0.046021289,4.603026529,-1.0016829,-0.469334067,0.21304461,-1.412872803,6.1006336,-1.892787149,0.078344782,0.952306823,-0.488713596,0.422912594,-0.878680781,0.033033008
0.009138626,0.050870521,-0.050870521,-0.474207229,0.218657278,-0.218657278,-0.211848222,-0.157649189,0.23426824,-0.473405089,0.531717127,-0.531717127,-0.27946721,-0.001089255,0.001089255,-0.031972989,-0.0446337,0.027074768,-0.765988735,-0.049150035,-0.067875671,0.046095654,-0.314848109,0.469994496,0.115859391,-0.849914756,0.275618811,-0.503660135,-2.132331365,-0.107998495,0.224073281,0.130766453,-1.612512067,0.460642592,0.681663859
-0.04892581,-0.240229154,0.240229154,-0.475989369,0.051807276,-0.051807276,-0.062997181,-0.179859045,-0.020723656,-0.328004313,0.420943348,-0.420943348,-0.283495985,-0.026681771,0.026681771,-0.032428829,-0.04739706,0.027208604,-0.241610056,-0.048343251,-0.066096981,0.045753867,-0.312624366,0.352055192,0.375945372,-0.26097781,0.609997066,-0.659974779,-0.647157227,-0.151863669,-0.155673304,0.153538038,-0.329831495,1.288310807,0.359873693
-0.032070266,-0.252936721,0.252936721,0.111376783,-0.382904621,0.382904621,0.041616363,-0.206780082,-0.201353466,-0.405944794,-0.440168936,0.440168936,-0.277517479,-0.027044272,0.027044272,-0.031937173,-0.047148668,0.02716678,-0.658239692,-0.049090397,-0.067990466,0.046092639,-0.255853497,-0.026119748,-0.664398553,0.68706703,0.593396727,-0.792842227,0.406837322,-0.148347758,-0.292289454,0.163762015,0.619361812,0.386048175,-0.495828409
-0.049844491,-0.24991869,0.24991869,-0.477541164,0.006712681,-0.006712681,0.180675831,5.4180884,0.067059056,-0.410177781,-0.463708364,0.463708364,-0.186712489,-0.009112593,0.009112593,-0.015914399,0.000263144,0.018601339,0.096003614,-0.046574761,-0.061105295,0.043973471,-0.182077529,0.722538439,1.156203316,-1.151565386,-0.046902059,0.262281624,-0.53936233,-0.087070454,0.005255889,0.069422592,0.657381942,-0.105284407,-0.136520106
-0.043782384,-0.256981235,0.256981235,-0.4062436,-0.391021648,0.391021648,-0.174627488,-0.184092595,0.135428283,0.088764037,-0.448323117,0.448323117,-0.279037843,-0.028832606,0.028832606,-0.031722277,-0.047614403,0.02716678,-0.242807268,-0.048348397,-0.067763751,0.045952842,-0.183123996,0.191811574,-1.726416309,1.232911029,-0.288792712,-0.777210763,1.484786293,-0.052246194,-0.339757777,0.159579479,1.050022579,1.217700376,-1.284430767
-0.035790308,-0.219448853,0.219448853,-0.449129067,-0.055066914,0.055066914,-0.018982946,-0.1843097,-0.084028496,0.24195414,-0.200620638,0.200620638,-0.282677424,-0.027938439,0.027938439,-0.032099973,-0.047055521,0.026982757,-0.387669871,-0.048732385,-0.067412001,0.045795516,-0.298366244,0.519990505,-0.469334067,0.385416399,-0.262706465,0.231018695,0.239156371,-0.055427256,-0.120940385,0.063845878,-2.189927603,0.99279499,-0.438108199
-0.018444424,-0.259167804,0.259167804,0.006261862,-0.440968421,0.440968421,0.066493974,-0.209276791,0.255285447,0.242430941,-0.509787179,0.509787179,1.353435707,-0.011770928,0.011770928,-0.014078016,0.011968614,0.021880297,-0.647464787,-0.04908271,-0.067761775,0.046055792,2.384515148,0.69689946,0.679379017,-0.83555044,0.325419828,-0.495844403,-0.982519129,-0.114360619,-0.008637279,0.127048643,0.251270778,-1.281711726,0.685271372
0.25178153,-0.256097633,0.256097633,1.46547169,-0.441798162,0.441798162,-0.116260785,-0.212316263,0.278919254,0.482946484,-0.509187155,0.509187155,0.92901453,-0.020664268,0.020664268,-0.015028768,-0.000761473,0.011708836,-0.888104318,-0.049184937,-0.068066098,0.046103693,3.812551041,0.689207767,1.19955098,-1.180294018,-0.661114598,1.692560622,-0.024342266,-0.001014349,0.143029802,-0.091372679,-1.626699403,0.359661178,-0.359464414
-0.044526348,0.009493371,-0.009493371,-0.311445735,0.003671526,-0.003671526,0.004652532,0.000214536,0.000751486,0.32803014,0.006990216,-0.006990216,0.01425213,-7.48E-05,7.48E-05,0.000838297,0.00680729,-0.000372546,0.010266296,-0.001184784,-0.000731546,0.000975293,0.016352357,0.012112174,0.021265125,-0.020591832,-0.006215545,0.010129742,-0.014287519,0.002453269,0.00675197,-0.002519795,-1.001278736,-1.247014369,-1.22454605
0.050554667,0.053126525,-0.053126525,1.520802807,0.02024106,-0.02024106,0.053098338,-0.206562977,-0.238492305,1.7409669,0.08246791,-0.08246791,-0.271442303,-0.020567601,0.020567601,-0.031666925,-0.045813562,0.027049674,-0.926415089,-0.049191013,-0.068086218,0.046119437,-0.288163185,-0.240205223,0.484314531,0.169951663,0.61474002,-0.636527583,-0.120159953,-0.152533366,-0.19503728,0.151679133,-2.00774327,-0.024710264,0.875748063
-0.052141446,-0.258965515,0.258965515,0.086270737,-0.38515935,0.38515935,-0.130932197,-0.197010351,0.019791442,-0.475356354,-0.447707707,0.447707707,-0.281806134,-0.028711773,0.028711773,-0.032204165,-0.04739706,0.027191874,0.124736692,-0.046347493,-0.064761481,0.045245374,-0.256115114,0.007210925,-0.88113687,0.514695241,0.439250723,-0.769395031,0.275088003,-0.123736382,-0.250609951,0.159114752,-0.448064879,2.069776786,-0.842149664
-0.044063242,-0.251052958,0.251052958,-0.365978607,-0.249424619,0.249424619,-0.143052059,-0.192993906,0.051865894,-0.152862469,-0.332933763,0.332933763,-0.280052255,-0.026198438,0.026198438,-0.031911125,-0.045968807,0.027007851,-0.190129958,-0.048162602,-0.065623251,0.04550833,-0.28855561,1.212242939,0.375945372,-0.864279071,0.104872468,-0.394239884,-0.371681379,-0.083387119,-0.007479515,0.111247952,1.037562288,1.090764048,0.24876229
-0.050498168,-0.258000196,0.258000196,-0.504438443,-0.357200701,0.357200701,0.050546788,-0.206345872,-0.225831337,-0.386573759,-0.425860656,0.425860656,-0.281878951,-0.028325106,0.028325106,-0.032178117,-0.047552305,0.027150051,-0.170974572,-0.048089821,-0.067080012,0.045698931,-0.273643446,-0.319686058,-0.75109388,0.744524293,0.41790743,-0.441134277,0.694290381,-0.13913942,-0.306182622,0.149820228,-0.570548804,0.731563608,-0.685583596
-0.044659678,-0.251747306,0.251747306,0.083536911,-0.266560565,0.266560565,0.000472622,-0.18724062,-0.122855464,-0.34641545,-0.308317368,0.308317368,-0.28018659,-0.026198438,0.026198438,-0.032008805,-0.046279297,0.026991122,-0.338584196,-0.048620734,-0.06671928,0.045745269,-0.289078844,0.248217327,0.332597709,-0.232249178,0.194988594,-0.089426327,-0.52738512,-0.117039409,-0.082734174,0.109853773,1.102598928,-0.070976091,0.189599076
-0.051521275,-0.25966074,0.25966074,0.038807373,-0.441067629,0.441067629,0.069364468,-0.21090508,0.269634544,0.411999088,-0.509787179,0.509787179,1.266306707,-0.016604265,0.016604265,-0.005814289,0.019637716,0.007016246,0.402489782,-0.043378374,-0.05444091,0.04017373,3.102522753,0.289239694,0.939464998,-0.677542967,-0.461910532,1.301774011,-0.144114374,-0.034164366,0.04925092,-0.02491683,-1.017274857,-1.234745571,-2.169714476
-0.05417878,-0.259693828,0.259693828,0.064862874,-0.436612283,0.436612283,0.171426463,-0.17627681,0.162438348,-0.543870962,-0.49832517,0.49832517,-0.146752418,-0.0187551,0.0187551,-0.023706006,-0.037275089,0.025803336,0.908910287,-0.032426286,-0.047462861,0.039429861,0.068420661,-0.567102206,0.267576214,0.069401453,0.866116581,-0.714684905,0.706267591,-0.180493229,-0.320075789,0.162367836,-0.214109033,-1.53798666,1.068389261
-0.049725617,-0.256834594,0.256834594,-0.497654188,-0.312557052,0.312557052,0.00972199,-0.188000488,-0.151553658,-0.38254534,-0.384628194,0.384628194,-0.283613998,-0.02924344,0.02924344,-0.032253005,-0.047831746,0.027208604,0.16065304,-0.046055256,-0.066733652,0.045443568,-0.28345408,0.441791619,-1.357961169,1.146725134,-0.412109515,-0.839736621,1.544672347,-0.047223464,-0.338600013,0.156791121,0.717065583,0.059895628,-2.834939887
-0.039568093,-0.216904583,0.216904583,-0.248655918,0.196109981,-0.196109981,-0.22087433,-0.165964316,0.25781764,-0.141847259,-0.000612425,0.000612425,-0.281252476,-0.023878436,0.023878436,-0.032119509,-0.046341395,0.027074768,-0.463094201,-0.048870754,-0.067180795,0.045916553,-0.307784453,0.287957745,0.83109584,-0.893007703,0.275618811,-0.386424151,-0.814838178,-0.110007587,-0.021372683,0.118218845,0.856824145,-0.407975675,0.910380188
-0.004384482,-0.230315271,0.230315271,0.204527079,-0.321125025,0.321125025,0.032048051,-0.207865608,-0.193756885,-0.37883164,-0.382320407,0.382320407,-0.282890853,-0.028687606,0.028687606,-0.032301845,-0.047862795,0.027216968,-0.807891141,-0.049165099,-0.068096278,0.046115417,-0.28436974,-0.310712415,-1.531351824,1.132360818,0.436879246,-0.722500637,1.341059763,-0.138302298,-0.371017404,0.164226741,0.34808378,0.841197216,-3.483570738
-0.038743979,-0.194419746,0.194419746,-0.433051317,0.525300525,-0.525300525,-0.143689946,-0.194296537,0.053554023,0.258791676,11.79217952,-11.79217952,-0.283516072,-0.026101771,0.026101771,-0.032373477,-0.047117619,0.027175145,-0.435558335,-0.048825251,-0.067069233,0.045917335,-0.314586493,0.768688602,0.549336027,-0.648814335,0.320676874,-0.511475867,-0.886701443,-0.114360619,-0.024845975,0.128907548,1.007326433,1.627650466,0.161460474
0.068082795,0.009493371,-0.009493371,-0.49995422,0.003671526,-0.003671526,0.004652532,0.000214536,0.000751486,-0.230598382,0.006990216,-0.006990216,0.01425213,-7.48E-05,7.48E-05,0.000838297,0.00680729,-0.000372546,0.010266296,-0.001184784,-0.000731546,0.000975293,0.016352357,0.012112174,0.021265125,-0.020591832,-0.006215545,0.010129742,-0.014287519,0.002453269,0.00675197,-0.002519795,-0.088173114,-1.190560458,-0.555713126
-0.021140596,-0.238975819,0.238975819,0.014721461,-0.316615566,0.316615566,-0.133164803,-0.197878771,0.025699894,-0.083608268,-0.39062844,0.39062844,-0.279896578,-0.027696772,0.027696772,-0.032279053,-0.047862795,0.027200239,-0.880921048,-0.049183573,-0.068102207,0.046118767,-0.267495449,-1.536255613,-1.184570515,1.031810608,0.764143071,-0.683421976,1.460831871,-0.179990956,-0.383752808,0.166085646,-0.107369717,0.853132511,-0.786593963
-0.052598685,-0.259691823,0.259691823,-0.477978107,-0.442686525,0.442686525,-0.116260785,-0.211556395,0.280607383,-0.084374612,-0.51421813,0.51421813,2.237280318,-0.012350929,0.012350929,0.002934581,0.010198822,-0.001841959,1.802030137,0.015907225,0.032139678,-0.024481047,3.940743326,3.135166365,1.784744438,-2.157067489,-0.836603896,1.09074924,0.370905689,0.108313737,0.056197504,-0.168052505,1.475175247,1.134601773,-1.832772755
-0.015142632,-0.224988596,0.224988596,0.102751287,-0.253032187,0.253032187,0.065856087,-0.210579422,-0.259593918,-0.173634008,-0.206774736,0.206774736,-0.270505729,-0.020011767,0.020011767,-0.031399933,-0.044540553,0.026932569,-0.731269599,-0.049134413,-0.067941961,0.046089066,-0.285547016,0.128996075,0.267576214,-0.433349599,0.460594016,-0.55837026,-0.742974914,-0.129428809,-0.096627341,0.138666799,-1.186374313,-0.393472046,0.794218267
-0.048702882,-0.243863827,0.243863827,-0.505024912,0.137487007,-0.137487007,-0.213857568,-0.167484052,0.239248221,-0.418801118,0.02708102,-0.02708102,-0.28338676,-0.027092605,0.027092605,-0.032340917,-0.047583354,0.027124957,-0.179355053,-0.048119392,-0.066898568,0.045519831,-0.312755174,-0.185081418,-1.509677992,1.247275344,0.04084259,0.137229908,0.502655008,-0.103143189,-0.226296907,0.106135964,-0.380789788,1.211372151,0.351215662
-0.052327256,-0.259175825,0.259175825,-0.475986187,-0.389217864,0.389217864,0.073191793,-0.212316263,0.279763318,0.298430697,-0.397705654,0.397705654,-0.267403485,-0.026850938,0.026850938,-0.031380397,-0.045378876,0.026765275,0.158258617,-0.046067902,-0.062029042,0.04417468,-0.114057132,0.067462525,0.614357522,0.083765768,0.358620506,0.160677105,-0.144114374,-0.14650609,-0.2008261,0.124260286,1.374876718,-0.874157526,-0.184860782
-0.039453307,-0.164477564,0.164477564,-0.388023494,0.556866742,-0.556866742,0.064261368,-0.20753995,-0.268034564,0.651877323,0.371710557,-0.371710557,-0.282983757,-0.027455105,0.027455105,-0.031614829,-0.046279297,0.026380499,-0.131466589,-0.047921757,-0.066396992,0.044821295,-0.305953135,-0.037657289,-1.271265842,1.218546713,-1.235012029,1.059486311,0.478700587,0.121037986,0.077037255,-0.183853197,1.278606562,-0.957583245,0.006337411
-0.053707994,-0.258277183,0.258277183,-0.507343513,0.060826195,-0.060826195,-0.109244023,-0.202763637,-0.037604946,-0.612039378,-0.040614067,0.040614067,-0.283109303,-0.025473437,0.025473437,-0.032422317,-0.047800697,0.027208604,0.291149104,-0.04476796,-0.063693297,0.044297058,-0.313540025,-1.078599837,0.007490232,0.241773242,0.702484669,-0.722500637,1.053606704,-0.165090191,-0.333968957,0.1581853,0.738907246,0.08383453,1.195373721
-0.048713362,-0.259398793,0.259398793,-0.515571603,-0.428314878,0.428314878,0.127731171,-0.202112322,0.208017833,-0.166694426,-0.492171071,0.492171071,2.112236393,0.044585775,-0.044585775,-0.01262584,-0.038920685,0.022783683,-0.531335262,-0.048967216,-0.067935135,0.04600722,0.826455652,-1.563176541,0.267576214,0.069401453,0.628968882,-0.464581474,1.460831871,-0.167266707,-0.373332932,0.152143859,0.190075974,-1.483540153,1.394508443
-0.050238415,-0.253895523,0.253895523,-0.44293992,-0.154275023,0.154275023,-0.057894082,-0.16824392,0.002910151,-0.243973994,-0.249853429,0.249853429,-0.282141342,-0.026754272,0.026754272,-0.032191141,-0.046620836,0.027083133,-0.015337065,-0.047326371,-0.062925663,0.044907495,-0.301636456,0.413588742,1.004486494,-1.022286545,0.270875857,-0.386424151,-0.814838178,-0.1128538,-0.035265851,0.115895214,0.134129373,1.677711729,0.725675519
-0.035492418,-0.217894718,0.217894718,-0.170227674,-0.033421508,0.033421508,-0.176860094,-0.176124837,0.141589954,-0.628404833,0.033235119,-0.033235119,-0.280735226,-0.011408428,0.011408428,-0.032246493,-0.047148668,0.02716678,-0.689367193,-0.049110855,-0.067929027,0.046083818,-0.314455684,-0.632481602,0.59268369,0.31359482,0.617111497,-0.644343315,1.257219288,-0.159732612,-0.222823615,0.151679133,0.293306706,-0.133461657,0.835343916
-0.046285443,-0.251019118,0.251019118,-0.415966719,-0.214701781,0.214701781,-0.167610726,-0.18387549,0.116858863,-0.243344554,-0.274469824,0.274469824,-0.280943633,-0.025884271,0.025884271,-0.032207421,-0.04680713,0.027141686,-0.398444775,-0.048752842,-0.06705576,0.045898688,-0.298104627,0.009774822,0.180880886,-0.36152802,0.576796389,-0.667790512,-0.635180017,-0.145668969,-0.142937901,0.14470824,-0.36863131,0.434564939,0.638373702
0.070283933,0.256793524,-0.256793524,0.845000088,-0.090691644,0.090691644,-0.157532104,-0.18829358,0.090270831,-0.414080313,0.013234298,-0.013234298,-0.273415888,0.000119079,-0.000119079,-0.019710895,-0.042056634,0.014686665,-0.238018421,-0.048330914,-0.067727103,0.045067502,-0.313540025,-0.851694873,-1.813111637,-0.677542967,-3.955096133,-0.691237708,1.376991396,2.003222283,0.351427318,-2.219354032,1.106436572,0.571559116,-0.684862094
0.211993893,1.076349528,-1.076349528,1.395136189,0.629018094,-0.629018094,0.019609246,-0.191636999,-0.187088775,-0.264588173,0.357863834,-0.357863834,-0.27094263,0.01679409,-0.01679409,-0.031637621,-0.043919573,0.026957663,-1.023389228,-0.049199754,-0.068097716,0.046122675,-0.315240535,-0.615816266,1.589679952,-0.016784442,0.353877552,-0.183215113,-2.192217419,-0.14148336,0.008729181,0.136343168,-0.925431301,1.326186856,1.13981802
-0.028999353,-0.256674167,0.256674167,-0.184707984,-0.418529351,0.418529351,0.173340125,-0.08541831,0.146401122,-0.24754607,-0.47340107,0.47340107,-0.212192072,-0.020156767,0.020156767,-0.021885902,-0.021284857,0.024858126,-0.689367193,-0.049110669,-0.067905852,0.046081027,-0.100191436,-0.120983971,0.180880886,-0.117334652,0.576796389,-0.691237708,-0.431567433,-0.14533412,-0.157988832,0.147031871,1.047157445,-0.287212066,-0.000877615
-0.053977296,-0.259700596,0.259700596,-0.513366689,-0.441969521,0.441969521,0.035237489,-0.206562977,0.26710235,-0.642551511,-0.504325417,0.504325417,-0.001608561,-0.025400937,0.025400937,-0.029068637,-0.045006288,0.026514334,0.476716901,-0.042284932,-0.061466386,0.043007066,0.74286905,-1.031167726,0.050837896,0.21304461,0.761771594,-0.464581474,1.281173709,-0.182334896,-0.349019889,0.157720574,-0.73934435,0.827931796,0.578488985
-0.053682753,-0.25811425,0.25811425,-0.504780929,0.056316736,-0.056316736,0.157711882,-0.192668248,0.181851832,1.029699036,0.904040109,-0.904040109,-0.281586429,-0.026633438,0.026633438,-0.02580287,-0.030878996,0.025719689,0.614396235,-0.039813622,-0.046583307,0.041549364,-0.296011692,-0.045348982,0.549336027,-0.36152802,0.586282297,-0.675606244,-0.407613012,-0.146338666,-0.157988832,0.147031871,-0.317748471,0.317869733,0.253091306
